f,i,j,w
4,266,16,0.23633263
4,266,16,0.09103208
4,266,17,0.43924066
4,266,17,0.28299078
4,266,17,0.15910244
4,266,17,0.06941402
4,266,17,0.01546984
4,266,18,0.021781102
4,267,18,0.68931276
4,267,18,0.461329
4,267,18,0.27471238
4,267,18,0.12977056
4,267,18,0.026477752
4,267,19,0.31573126
4,267,19,0.16942224
4,267,19,0.059402287
4,268,19,0.45270878
4,268,19,0.2818634
4,268,19,0.150767
4,268,19,0.05743895
4,268,20,0.40212518
4,268,20,0.23002556
4,268,20,0.085907
4,269,20,0.695363
4,269,20,0.52320397
4,269,20,0.37825817
4,269,20,0.25705153
4,269,20,0.15593696
4,269,20,0.07111756
4,270,20,NaN
4,270,20,NaN
4,270,20,NaN
0,0,0,NaN
0,0,0,NaN
0,0,0,NaN
0,0,0,NaN
1,6,1,0.46491027
1,6,1,0.34888935
1,6,1,0.24164748
1,6,1,0.14725198
1,6,1,0.069628194
1,6,1,0.012535815
1,6,2,0.16908193
1,6,2,0.073797606
1,6,2,0.0006406446
1,7,2,0.4051412
1,7,2,0.24243271
1,7,2,0.11259104
1,7,2,0.017922461
1,7,3,0.3563536
1,7,3,0.19469517
1,7,3,0.065684155
1,8,3,0.49778876
1,8,3,0.31944343
1,8,3,0.1801346
1,8,3,0.08023364
1,8,3,0.019779546
1,8,4,0.0625994
1,9,4,0.766541
1,9,4,0.52976406
1,9,4,0.3281482
1,9,4,0.16049783
1,9,4,0.025322609
1,10,4,0.3860485
1,10,4,0.24106224
1,10,4,0.12734267
1,10,4,0.042421278
1,11,4,0.20114273
1,11,4,0.11594965
1,11,4,0.055998415
1,11,4,0.018042749
1,12,4,0.04863802
1,12,4,0.01526708
1,12,5,0.48472357
1,12,5,0.23554558
1,13,5,0.96047693
1,13,5,0.7159947
1,13,5,0.4777615
1,13,5,0.24216406
1,13,5,0.0055861366
1,14,5,0.7434249
1,14,5,0.51239276
1,14,4,0.005633215
1,14,4,0.0013322462
1,15,4,0.06607808
1,15,4,0.06745769
1,15,4,0.052002776
1,15,4,0.016417446
1,16,4,0.22968005
1,16,4,0.20423439
1,16,4,0.15491588
1,16,4,0.079182155
1,17,4,0.51389337
1,17,4,0.45725036
1,17,4,0.3727244
1,17,4,0.2587267
1,17,4,0.11395694
1,18,4,0.91412777
1,18,3,0.058721796
1,18,3,0.104601696
1,18,3,0.11503855
1,18,3,0.08993814
1,18,3,0.029532652
1,19,3,0.58309853
1,19,3,0.5789492
1,19,3,0.5454311
1,19,2,0.015799476
1,19,2,0.057952054
1,19,2,0.06780577
1,19,2,0.04749025
1,20,2,0.5968993
1,20,2,0.67093754
1,20,2,0.72498834
1,20,1,0.033741686
1,20,1,0.13273232
1,20,1,0.2128263
1,20,1,0.277578
1,20,1,0.33070466
1,20,1,0.3760631
0,0,0,NaN
0,0,0,NaN
0,0,0,NaN
4,270,6,NaN
4,270,6,NaN
4,270,6,NaN
4,270,6,NaN
4,269,6,0.08791947
4,269,6,0.16451153
4,269,6,0.22377801
4,269,6,0.26171234
4,269,6,0.27446032
4,269,6,0.2583436
4,268,6,0.020035235
4,268,6,0.025300901
4,268,6,0.0004315957
4,268,7,0.49001366
4,268,7,0.5390521
4,268,7,0.54761297
4,268,7,0.5135407
4,267,7,0.038810134
4,267,7,0.056975182
4,267,7,0.035566237
4,267,8,0.44629633
4,267,8,0.4609204
4,267,8,0.43016174
4,267,8,0.3538576
4,267,8,0.23218465
4,266,8,0.0014915679
4,266,9,0.10405907
4,266,9,0.14213078
4,266,9,0.14007437
4,266,9,0.09933153
4,266,9,0.021644004
4,266,10,0.44382185
4,266,10,0.3677534
4,266,10,0.2567306
4,266,10,0.11349119
4,266,11,0.72345334
4,266,11,0.5744395
4,266,11,0.3975938
4,266,11,0.19644453
4,266,12,0.92471707
4,266,12,0.71518743
4,265,12,0.0013820584
4,265,12,0.0050546764
4,265,13,0.033754446
4,265,13,0.031256154
4,265,13,0.022227103
4,265,13,0.010571473
4,265,13,0.00019631603
4,265,14,0.015953468
4,265,14,0.0014609343
4,266,14,0.26388812
4,266,14,0.025328979
4,266,15,0.7194399
4,266,15,0.47895563
4,266,15,0.257633
4,266,15,0.059048936
4,266,16,0.6144716
4,266,16,0.41174912
4,258,22,0.03934677
4,259,23,0.7505326
4,259,23,0.131993
4,259,24,0.28977853
4,259,25,0.29379672
4,259,25,0.029964473
4,260,26,0.61858183
4,260,26,0.08389513
4,260,27,0.19601925
4,260,27,0.0009070103
4,261,28,0.37065834
4,261,29,0.45701003
4,261,29,0.074676365
4,262,30,0.80568904
4,262,30,0.24549414
4,262,30,0.006038629
4,263,31,0.48108172
4,263,31,0.08387444
4,263,32,0.019219339
4,264,32,0.28391343
4,264,32,0.024696076
4,265,33,0.6320185
4,265,33,0.18110721
4,266,33,0.22502092
4,266,33,0.004494132
4,267,34,0.7894236
4,267,34,0.31547645
4,267,34,0.014952145
4,268,34,0.17655084
4,268,34,0.009261657
4,269,34,0.082385704
4,269,34,0.0022019886
0,0,0,NaN
5,269,82,0.017742125
5,269,82,0.44933665
5,268,82,0.031745672
5,268,82,0.3623206
5,267,82,0.017885959
5,267,82,0.19870402
5,267,82,0.2013604
5,266,83,0.44889137
5,266,83,0.68493485
5,265,83,0.17218384
5,265,83,0.1557183
5,264,84,0.1859336
5,264,84,0.33777308
5,263,84,0.0042731017
5,263,85,0.3258577
5,263,85,0.3054727
5,262,86,0.1446123
5,262,86,0.2557931
5,262,86,0.035437003
5,261,87,0.09298182
5,261,87,0.023235904
5,261,88,0.41134557
5,260,89,0.069838926
5,260,89,0.14881887
